Rank,Name,8-Year Graduation Rate,Number of Pell Graduates,Pell Performance Rank,Earnings Performance Rank,Net Price of Attendance for Families Below $75k Income,Social Mobility Rank,Research Rank,Service Rank,Admission Rate,Enrollment,Share of White Students,In-State Tuition Fee,Out-of-State Tuition Fee,Median Earnings of Students,Note: 
407,William Carey University (MS),49%,259,268,375,12800,402,384,343,0.5745,1960.0,0.6107,14100.0,14100.0,40817.0,
408,University of Charleston (WV),43%,73,396,386,20174,424,419,227,0.5721,2679.0,0.6626,28930.0,28930.0,43163.0,
409,Louisiana Tech University (LA)*,52%,293,417,391,9967,407,243,355,0.6583,7785.0,0.7219,10065.0,16806.0,50632.0,
410,William Woods University (MO),61%,67,321,374,22766,412,367,314,0.683,726.0,0.7163,26730.0,26730.0,43767.0,
411,Shenandoah University (VA),60%,102,432,339,25993,423,392,246,0.7435,2122.0,0.6074,34490.0,34490.0,55196.0,
412,Dallas Baptist University (TX),55%,122,357,173,24081,389,353,405,0.94,2717.0,0.565,33620.0,33620.0,53741.0,
413,Chapman University (CA),80%,302,350,423,32989,421,268,286,0.6037,7469.0,0.5022,58634.0,58634.0,64844.0,
414,Ashford University (IA)°,20%,4558,403,301,21558,352,430,429,,31534.0,0.4151,14278.0,14278.0,37041.0,
415,Hampton University (VA),53%,225,433,244,32412,435,191,135,0.8012,2855.0,0.0067,29312.0,29312.0,55618.0,
416,Concordia University–Wisconsin (WI),53%,261,345,333,20350,400,372,376,0.6859,2628.0,0.723,31952.0,31952.0,51567.0,
417,University of AL–Huntsville (AL)*,55%,279,87,424,15111,413,225,358,,,,,,72316.0,
418,University of Bridgeport (CT),52%,188,260,267,22343,385,370,413,0.7314,1733.0,0.2418,35760.0,35760.0,51396.0,
419,Western New England Univ. (MA),61%,152,255,212,25508,373,360,427,0.8988,2579.0,0.7468,40380.0,40380.0,66181.0,
420,Lipscomb University (TN),64%,144,267,429,22020,428,297,232,0.7399,2945.0,0.7127,35752.0,35752.0,51858.0,
421,University of Hartford (CT),60%,284,351,144,25957,398,274,414,0.7879,3915.0,0.517,44885.0,44885.0,63870.0,
422,Hofstra University (NY),63%,324,282,303,29968,426,280,305,0.6776,6004.0,0.5273,49410.0,49410.0,68703.0,
423,Liberty University (VA),35%,2961,83,103,27929,405,415,397,0.9928,47179.0,0.5653,22713.0,22713.0,45115.0,
424,University of New England (ME),65%,113,440,428,31106,434,355,203,,,,,,44473.0,
425,Andrews University (MI),57%,118,363,426,17358,427,141,375,0.8151,1315.0,0.2418,31782.0,31782.0,50391.0,
426,Concordia University–Irvine (CA),65%,131,402,395,22061,414,352,403,0.8138,1580.0,0.4595,38740.0,38740.0,59831.0,
427,South College (TN),37%,79,80,411,16291,430,437,256,,1808.0,0.3042,4831.0,4831.0,44851.0,
428,Touro College (NY),54%,479,86,419,19973,415,404,401,,,,,,,No data found
429,Biola University (CA),71%,269,314,435,25441,417,255,404,0.6077,3592.0,0.4365,44382.0,44382.0,53148.0,
430,New School (NY),72%,326,414,228,36293,419,241,406,0.663,7373.0,0.3425,52494.0,52494.0,55333.0,
431,Tulane University (LA),67%,186,424,442,22362,440,98,88,0.0963,8700.0,0.6826,60814.0,60814.0,59812.0,
432,Long Island University (NY),51%,701,379,380,24418,425,408,369,0.9332,5909.0,0.396,39290.0,39290.0,54935.0,
433,Capitol Technology University (MD),51%,24,212,328,20441,387,437,442,0.4654,322.0,0.3696,26934.0,26934.0,82031.0,
434,University of Akron–Main (OH)*,43%,823,356,400,17556,436,134,324,0.8492,10811.0,0.7291,11880.0,11880.0,46023.0,
435,Abilene Christian University (TX),63%,164,372,355,25956,431,240,370,0.7011,3131.0,0.634,39350.0,39350.0,51336.0,
436,Walden University (MN)°,28%,628,324,27,18772,439,95,378,,7086.0,0.4279,12180.0,12180.0,48155.0,
437,Mississippi College (MS),53%,189,386,421,15709,437,283,396,,1468.0,0.5293,3380.0,6080.0,30165.0,
438,Southeastern University (FL),47%,199,436,290,25220,432,431,419,0.9894,10106.0,0.6685,8289.0,20767.0,43810.0,
439,St. Thomas University (FL),51%,102,442,371,22502,433,417,430,0.7086,1797.0,0.1013,32940.0,32940.0,55391.0,
440,Master's University (CA),53%,68,344,280,24913,438,365,423,0.6698,1338.0,0.6278,28870.0,28870.0,53478.0,
441,Capella University (MN)°,18%,491,208,44,17140,441,435,390,,12378.0,0.5051,14148.0,14148.0,53043.0,
442,Erskine College and Seminary (SC),50%,41,381,410,35224,442,305,441,0.6267,700.0,0.4771,36510.0,36510.0,47825.0,
